Year,PopRich,PopMiddle,PopPoor,PopGRich,PopGMiddle,PopGPoor,GDPRich,GDPMiddle,GDPPoor,EnergyRich,EnergyMiddle,EnergyPoor,CO2Rich,CO2Middle,CO2Poor
2008,1068,2502,3094,0.57%,0.82%,1.65%,36710,7673,2790,5244,4639,1858,12238,13332,4277
2009,1074,2522,3145,0.51%,0.81%,1.65%,35222,7752,2905,4999,4703,1928,12377,14487,4445
2010,1078,2542,3197,0.41%,0.81%,1.65%,36110,8060,3050,5080,4959,2413,12426,15536,4906
2011,1086,2573,3289,0.76%,1.20%,2.90%,37249,8725,3228,5100,5228,2277,12368,16628,5134
2012,1095,2603,3385,0.79%,1.18%,2.89%,38277,9504,3426,5138,5487,2172,12526,17676,5000
2013,1104,2634,3481,0.84%,1.18%,2.86%,38433,10072,3614,5104,5668,2203,12278,18249,5397
2014,1112,2665,3579,0.74%,1.18%,2.80%,37202,10388,3759,4897,5807,2739,11592,18737,5034
2015,1119,2696,3677,0.66%,1.17%,2.74%,38311,11204,4019,5087,6219,2088,12079,20156,5047
2016,1125,2729,3775,0.47%,1.19%,2.66%,39054,11921,4050,4986,6511,2077,11853,21558,4657
2017,1131,2762,3873,0.59%,1.22%,2.60%,39594,12569,3918,4973,6742,2111,11719,22218,4413
2018,1138,2795,3973,0.59%,1.21%,2.57%,40190,13259,4051,4990,6886,2354,11810,22818,3939
2019,1145,2829,4075,0.60%,1.20%,2.57%,41056,13913,4228,4982,7096,2258,11625,23072,4098
2020,1152,2862,4180,0.58%,1.17%,2.58%,42083,14534,4207,4864,7096,2258,11584,22994,3709
